r,g,b,label
253.50732421875,104.802734375,180.30322265625,happy
253.379150390625,253.552490234375,101.747802734375,happy
253.5283203125,253.49755859375,101.720458984375,happy
253.45947265625,165.078369140625,1.318603515625,happy
253.46923828125,192.03955078125,202.63720703125,happy
253.476806640625,164.86962890625,1.36767578125,happy
253.5224609375,104.830078125,180.109619140625,happy
253.56787109375,105.090087890625,180.067626953125,happy
253.533935546875,182.04296875,192.774169921875,happy
253.413818359375,248.698486328125,204.890380859375,happy
253.32568359375,164.91650390625,1.40478515625,happy
253.68505859375,253.524658203125,102.002197265625,happy
253.585693359375,253.66552734375,101.924072265625,happy
253.5458984375,104.649169921875,179.90087890625,happy
253.5302734375,164.780517578125,1.447998046875,happy
253.58056640625,191.693115234375,202.916748046875,happy
253.368896484375,181.8671875,192.81640625,happy
253.644287109375,253.46337890625,101.755615234375,happy
253.53125,253.533447265625,1.524169921875,happy
253.38818359375,248.677734375,204.88720703125,happy
253.388916015625,253.431396484375,1.579345703125,happy
253.462158203125,253.656005859375,101.93017578125,happy
253.572998046875,222.655029296875,1.283447265625,happy
253.523193359375,253.6435546875,1.474609375,happy
253.52001953125,253.61572265625,101.759765625,happy
253.489013671875,104.920166015625,179.84521484375,happy
253.548828125,248.89208984375,204.8603515625,happy
253.55029296875,214.89306640625,1.43212890625,happy
253.52294921875,248.908935546875,205.06640625,happy
253.585205078125,223.054443359375,1.39111328125,happy
253.55615234375,181.944580078125,193.083740234375,happy
253.68310546875,222.65966796875,1.448486328125,happy
253.3740234375,104.77783203125,180.107666015625,happy
253.378173828125,253.5146484375,102.00146484375,happy
253.529296875,104.792724609375,179.792724609375,happy
253.569091796875,248.828125,204.853515625,happy
253.46923828125,222.63232421875,1.538818359375,happy
253.652099609375,222.770751953125,1.496826171875,happy
253.645263671875,192.143798828125,202.923095703125,happy
253.600341796875,238.55810546875,212.93603515625,happy
253.5498046875,238.2890625,212.830810546875,happy
253.501708984375,248.831298828125,204.8466796875,happy
253.6005859375,248.814697265625,205.042236328125,happy
253.377197265625,253.5830078125,1.588134765625,happy
253.53857421875,192.034423828125,202.5576171875,happy
253.5546875,253.439453125,102.080078125,happy
253.492431640625,192.023681640625,203.11181640625,happy
253.697021484375,238.436279296875,212.931884765625,happy
253.52880859375,248.917236328125,204.77099609375,happy
253.484619140625,253.53125,1.419189453125,happy
253.6103515625,191.937744140625,203.173583984375,happy
253.477294921875,238.375244140625,213.106201171875,happy
253.748046875,191.849365234375,203.166259765625,happy
253.657958984375,181.681884765625,192.995361328125,happy
253.548828125,253.581298828125,1.417724609375,happy
253.574462890625,182.14111328125,193.02490234375,happy
253.630615234375,105.01123046875,179.80810546875,happy
253.611572265625,253.418212890625,101.978759765625,happy
253.5224609375,248.838134765625,204.923828125,happy
253.578857421875,248.778076171875,205.02783203125,happy
253.545654296875,191.788818359375,202.82568359375,happy
253.41064453125,248.7412109375,205.08984375,happy
253.356201171875,181.65087890625,193.103759765625,happy
253.35595703125,214.929931640625,1.556640625,happy
253.576416015625,164.8544921875,1.547119140625,happy
253.534423828125,222.4814453125,1.407470703125,happy
253.421630859375,165.1201171875,1.34130859375,happy
253.531982421875,191.922607421875,203.116943359375,happy
253.32861328125,192.051513671875,202.9365234375,happy
253.489501953125,104.938720703125,180.079345703125,happy
253.548583984375,181.781982421875,192.96142578125,happy
253.543701171875,248.800048828125,204.832763671875,happy
253.484619140625,165.104736328125,1.4072265625,happy
253.484619140625,248.718505859375,204.94775390625,happy
253.53173828125,249.01904296875,204.656005859375,happy
253.495849609375,238.4794921875,212.61181640625,happy
253.497802734375,222.895263671875,1.5087890625,happy
253.5009765625,191.819580078125,202.913330078125,happy
253.576416015625,181.912841796875,193.221923828125,happy
253.53955078125,214.9599609375,1.414794921875,happy
253.591064453125,253.699462890625,1.406005859375,happy
253.59326171875,222.6787109375,1.328125,happy
253.60205078125,105.03515625,179.87548828125,happy
253.416259765625,104.720703125,179.94873046875,happy
253.4892578125,214.859619140625,1.409912109375,happy
253.50341796875,182.0732421875,193.001220703125,happy
253.48046875,191.667236328125,202.6875,happy
253.5712890625,253.638671875,1.37841796875,happy
253.533447265625,192.085205078125,202.818359375,happy
253.4658203125,253.615966796875,1.433349609375,happy
253.460205078125,191.85546875,202.952880859375,happy
253.4453125,192.027587890625,202.974609375,happy
253.43017578125,181.994140625,192.839599609375,happy
